id,url_id,user_id,event_type,timestamp,details
70,70,293,created,2025-06-21 03:36:35,"{""short_code"":""pAauyu"",""original_url"":""https://example.com/gold/canyon/70""}"
71,71,293,created,2025-06-21 14:40:47,"{""short_code"":""tGTtBQ"",""original_url"":""https://example.com/ember/valley/71""}"
72,72,11,created,2025-06-01 13:44:47,"{""short_code"":""9FSztP"",""original_url"":""https://opswise.net/young/beacon/72""}"
73,73,383,created,2025-02-09 10:00:10,"{""short_code"":""wfpyVR"",""original_url"":""https://relay.cloud/brisk/network/73""}"
74,74,238,created,2026-01-20 23:03:54,"{""short_code"":""uneIWd"",""original_url"":""https://acme.dev/gold/harvest/74""}"
75,75,181,created,2025-03-24 23:38:34,"{""short_code"":""j3qfky"",""original_url"":""https://opswise.net/proud/uplink/75""}"
76,76,94,created,2025-11-14 11:15:37,"{""short_code"":""z6WnKw"",""original_url"":""https://example.com/mellow/island/76""}"
77,77,360,created,2025-05-02 10:31:29,"{""short_code"":""MTdblX"",""original_url"":""https://example.com/urban/field/77""}"
78,78,10,created,2025-04-24 23:28:06,"{""short_code"":""UoWe3m"",""original_url"":""https://example.com/keen/network/78""}"
79,79,43,created,2025-01-15 09:23:19,"{""short_code"":""EGtN2V"",""original_url"":""https://hackstack.io/rapid/harvest/79""}"
80,80,164,created,2026-02-07 09:31:15,"{""short_code"":""ihEJF5"",""original_url"":""https://opswise.net/proud/yard/80""}"
81,81,249,created,2025-02-24 19:57:36,"{""short_code"":""eb2IBX"",""original_url"":""https://example.com/calm/harvest/81""}"
82,82,151,created,2025-08-20 14:35:06,"{""short_code"":""WJKxY5"",""original_url"":""https://opswise.net/quiet/beacon/82""}"
83,83,189,created,2025-07-25 05:38:57,"{""short_code"":""HFAPCP"",""original_url"":""https://seeded.app/amber/canyon/83""}"
84,84,261,created,2025-01-17 10:37:06,"{""short_code"":""7r2SDp"",""original_url"":""https://example.com/urban/kernel/84""}"
85,85,372,created,2025-03-13 19:52:09,"{""short_code"":""tY5JcL"",""original_url"":""https://acme.dev/brisk/beacon/85""}"
86,86,140,created,2025-11-02 06:33:50,"{""short_code"":""9aPpX4"",""original_url"":""https://opswise.net/cobalt/signal/86""}"
87,87,29,created,2025-11-05 10:58:02,"{""short_code"":""h0MDyb"",""original_url"":""https://seeded.app/keen/zenith/87""}"
88,88,106,created,2025-11-08 20:33:58,"{""short_code"":""sxpTLU"",""original_url"":""https://relay.cloud/quiet/journey/88""}"
89,89,157,created,2025-12-17 22:43:20,"{""short_code"":""FVbWgP"",""original_url"":""https://seeded.app/mellow/beacon/89""}"
90,90,123,created,2025-03-18 03:52:41,"{""short_code"":""LVvgyT"",""original_url"":""https://example.com/quiet/lagoon/90""}"
91,91,149,created,2025-03-29 14:51:52,"{""short_code"":""qj9Vf2"",""original_url"":""https://relay.cloud/quiet/beacon/91""}"
92,92,343,created,2025-09-24 01:53:52,"{""short_code"":""MFXWPc"",""original_url"":""https://seeded.app/rapid/pioneer/92""}"
93,93,294,created,2025-07-19 21:16:03,"{""short_code"":""V7lodU"",""original_url"":""https://hackstack.io/dawn/beacon/93""}"
94,94,199,created,2025-07-12 21:40:05,"{""short_code"":""dA1z0o"",""original_url"":""https://example.com/keen/network/94""}"
95,95,160,created,2025-05-22 09:03:19,"{""short_code"":""7Mk111"",""original_url"":""https://seeded.app/young/garden/95""}"
96,96,89,created,2025-04-21 11:58:37,"{""short_code"":""lqCMdy"",""original_url"":""https://opswise.net/calm/orbit/96""}"
97,97,38,created,2025-01-10 21:46:36,"{""short_code"":""dzPwsN"",""original_url"":""https://acme.dev/keen/valley/97""}"
98,98,73,created,2025-07-21 23:54:01,"{""short_code"":""lxvnuJ"",""original_url"":""https://opswise.net/urban/harvest/98""}"
99,99,262,created,2025-08-12 22:23:29,"{""short_code"":""rJENX3"",""original_url"":""https://relay.cloud/forest/network/99""}"
100,100,106,created,2025-09-28 07:22:48,"{""short_code"":""IZCERv"",""original_url"":""https://hackstack.io/urban/river/100""}"
101,101,341,created,2026-02-03 12:04:39,"{""short_code"":""vCA3OO"",""original_url"":""https://opswise.net/quiet/lagoon/101""}"
102,102,15,created,2025-01-21 20:16:32,"{""short_code"":""3mZsv5"",""original_url"":""https://opswise.net/ember/zenith/102""}"
103,103,333,created,2025-04-08 10:14:38,"{""short_code"":""1L3oOj"",""original_url"":""https://acme.dev/proud/quartz/103""}"
104,104,321,created,2025-07-29 11:48:53,"{""short_code"":""1k61q5"",""original_url"":""https://acme.dev/harbor/kernel/104""}"
105,105,306,created,2025-11-02 15:45:46,"{""short_code"":""EFHpdV"",""original_url"":""https://acme.dev/tidy/pioneer/105""}"
106,106,376,created,2025-04-30 06:03:42,"{""short_code"":""hH7nHt"",""original_url"":""https://opswise.net/jade/anchor/106""}"
107,107,334,created,2025-11-24 11:12:42,"{""short_code"":""NRBOTI"",""original_url"":""https://seeded.app/cobalt/canyon/107""}"
108,108,295,created,2025-04-08 00:20:45,"{""short_code"":""08zH5m"",""original_url"":""https://seeded.app/proud/trail/108""}"
109,109,34,created,2025-10-22 13:15:24,"{""short_code"":""HyIHJL"",""original_url"":""https://relay.cloud/vivid/field/109""}"
110,110,368,created,2025-09-22 11:33:04,"{""short_code"":""eVSsfH"",""original_url"":""https://relay.cloud/urban/river/110""}"
111,111,130,created,2025-04-12 23:49:40,"{""short_code"":""BUF5tc"",""original_url"":""https://hackstack.io/brisk/orbit/111""}"
112,112,56,created,2026-01-12 06:57:17,"{""short_code"":""NywzpQ"",""original_url"":""https://example.com/clear/yard/112""}"
113,113,271,created,2025-06-14 21:27:10,"{""short_code"":""X2kyuY"",""original_url"":""https://example.com/young/window/113""}"
114,114,323,created,2025-02-01 21:18:43,"{""short_code"":""cJvmjS"",""original_url"":""https://hackstack.io/cobalt/pioneer/114""}"
115,115,63,created,2025-05-04 08:54:56,"{""short_code"":""GEpPqm"",""original_url"":""https://acme.dev/lively/canyon/115""}"
116,116,252,created,2025-03-30 13:48:36,"{""short_code"":""0Vqqm8"",""original_url"":""https://example.com/warm/yard/116""}"
117,117,188,created,2025-11-14 03:44:14,"{""short_code"":""wMMTgv"",""original_url"":""https://opswise.net/calm/river/117""}"
118,118,133,created,2025-10-12 13:03:39,"{""short_code"":""UDuJLI"",""original_url"":""https://acme.dev/quiet/river/118""}"
119,119,87,created,2025-06-26 06:04:22,"{""short_code"":""C7OuO6"",""original_url"":""https://opswise.net/forest/journey/119""}"
120,120,105,created,2025-10-09 01:47:33,"{""short_code"":""8gkTND"",""original_url"":""https://hackstack.io/brisk/beacon/120""}"
121,121,147,created,2025-11-09 17:17:20,"{""short_code"":""IvVwTm"",""original_url"":""https://acme.dev/urban/signal/121""}"
122,122,234,created,2025-07-29 01:37:52,"{""short_code"":""inA0eQ"",""original_url"":""https://acme.dev/tidy/uplink/122""}"
123,123,356,created,2025-02-25 02:29:58,"{""short_code"":""LQSv7q"",""original_url"":""https://hackstack.io/gold/beacon/123""}"
124,124,194,created,2025-01-17 17:18:16,"{""short_code"":""tsXU5e"",""original_url"":""https://seeded.app/urban/zenith/124""}"
125,125,101,created,2025-05-13 06:35:55,"{""short_code"":""TqsRLx"",""original_url"":""https://hackstack.io/lively/zenith/125""}"
126,126,249,created,2025-05-14 08:44:38,"{""short_code"":""WSvsGe"",""original_url"":""https://hackstack.io/brisk/anchor/126""}"
127,127,59,created,2025-06-24 23:31:07,"{""short_code"":""wk9TmS"",""original_url"":""https://hackstack.io/tidy/signal/127""}"
128,128,213,created,2025-04-22 22:56:56,"{""short_code"":""uLICAN"",""original_url"":""https://opswise.net/warm/anchor/128""}"
129,129,373,created,2025-11-29 02:59:54,"{""short_code"":""e1Jyn8"",""original_url"":""https://hackstack.io/keen/meadow/129""}"
130,130,353,created,2025-02-28 01:25:24,"{""short_code"":""nGUCOm"",""original_url"":""https://hackstack.io/forest/delta/130""}"
131,131,240,created,2025-02-28 23:05:48,"{""short_code"":""7QOtCX"",""original_url"":""https://example.com/tidy/network/131""}"
132,132,30,created,2025-04-17 18:34:45,"{""short_code"":""cIvq1U"",""original_url"":""https://hackstack.io/lively/garden/132""}"
133,133,156,created,2025-11-11 19:20:01,"{""short_code"":""06Zbhd"",""original_url"":""https://acme.dev/vivid/river/133""}"
134,134,89,created,2025-01-26 21:07:24,"{""short_code"":""CCdGHV"",""original_url"":""https://acme.dev/proud/delta/134""}"
135,135,130,created,2025-01-27 02:29:48,"{""short_code"":""arqGc3"",""original_url"":""https://hackstack.io/dawn/kernel/135""}"
136,136,158,created,2026-01-02 20:21:44,"{""short_code"":""H6JkvK"",""original_url"":""https://hackstack.io/young/trail/136""}"
137,137,289,created,2025-08-10 00:25:03,"{""short_code"":""1aDbCR"",""original_url"":""https://opswise.net/young/river/137""}"
138,138,153,created,2025-07-27 06:41:22,"{""short_code"":""fDoiBV"",""original_url"":""https://hackstack.io/mellow/canyon/138""}"
139,139,112,created,2025-03-15 14:32:00,"{""short_code"":""tzMfyJ"",""original_url"":""https://seeded.app/proud/lagoon/139""}"
140,140,9,created,2025-10-19 02:00:40,"{""short_code"":""RWPLcY"",""original_url"":""https://example.com/jade/river/140""}"
141,141,398,created,2025-07-09 13:34:50,"{""short_code"":""ZJRJxC"",""original_url"":""https://relay.cloud/harbor/island/141""}"
142,142,321,created,2025-07-04 21:25:08,"{""short_code"":""BZ7PYU"",""original_url"":""https://relay.cloud/calm/island/142""}"
143,143,77,created,2025-06-03 15:42:49,"{""short_code"":""pw9xv4"",""original_url"":""https://opswise.net/jade/journey/143""}"
144,144,282,created,2025-05-04 07:07:24,"{""short_code"":""WUTqSa"",""original_url"":""https://opswise.net/gold/journey/144""}"
145,145,26,created,2025-11-19 15:08:23,"{""short_code"":""i72dhv"",""original_url"":""https://hackstack.io/tidy/anchor/145""}"
146,146,247,created,2025-09-12 02:14:53,"{""short_code"":""xeALeD"",""original_url"":""https://acme.dev/forest/kernel/146""}"
147,147,168,created,2025-07-20 00:42:26,"{""short_code"":""MNL6uH"",""original_url"":""https://example.com/ember/island/147""}"
148,148,55,created,2025-09-13 16:17:19,"{""short_code"":""NffLrM"",""original_url"":""https://hackstack.io/warm/network/148""}"
149,149,31,created,2025-01-14 20:05:33,"{""short_code"":""V5QEgd"",""original_url"":""https://relay.cloud/ember/lagoon/149""}"
150,150,382,created,2025-06-10 15:46:15,"{""short_code"":""I9GAK2"",""original_url"":""https://acme.dev/quiet/garden/150""}"
151,151,118,created,2025-05-26 15:04:14,"{""short_code"":""nHV3Ja"",""original_url"":""https://relay.cloud/tidy/network/151""}"
152,152,362,created,2026-01-08 07:11:12,"{""short_code"":""7e4oC8"",""original_url"":""https://seeded.app/forest/beacon/152""}"
153,153,247,created,2025-10-08 05:03:36,"{""short_code"":""MvcRK1"",""original_url"":""https://example.com/lively/canyon/153""}"
154,154,300,created,2025-04-18 04:00:59,"{""short_code"":""Q73QLH"",""original_url"":""https://relay.cloud/ember/window/154""}"
155,155,39,created,2025-08-20 22:09:36,"{""short_code"":""TMt8tn"",""original_url"":""https://relay.cloud/keen/garden/155""}"
156,156,212,created,2025-05-13 07:50:51,"{""short_code"":""QzlfM4"",""original_url"":""https://acme.dev/young/trail/156""}"
157,157,25,created,2025-07-29 20:08:13,"{""short_code"":""kj0D4T"",""original_url"":""https://opswise.net/harbor/anchor/157""}"
158,158,25,created,2025-11-17 07:59:08,"{""short_code"":""7nXMTa"",""original_url"":""https://example.com/forest/journey/158""}"
159,159,90,created,2026-01-14 08:51:40,"{""short_code"":""mZFKLk"",""original_url"":""https://seeded.app/calm/orbit/159""}"
160,160,252,created,2025-07-26 09:48:01,"{""short_code"":""3nTaSC"",""original_url"":""https://seeded.app/cobalt/anchor/160""}"
161,161,10,created,2025-04-24 03:04:31,"{""short_code"":""w2yzu9"",""original_url"":""https://relay.cloud/dawn/delta/161""}"
162,162,22,created,2025-09-02 00:43:45,"{""short_code"":""05a0EN"",""original_url"":""https://example.com/amber/zenith/162""}"
163,163,338,created,2025-01-31 03:59:08,"{""short_code"":""agvcD7"",""original_url"":""https://seeded.app/clear/meadow/163""}"
164,164,95,created,2025-11-21 06:50:24,"{""short_code"":""D75Ug1"",""original_url"":""https://hackstack.io/proud/river/164""}"
165,165,279,created,2025-06-04 07:43:15,"{""short_code"":""lxSg9t"",""original_url"":""https://relay.cloud/young/kernel/165""}"
166,166,32,created,2025-04-04 14:21:31,"{""short_code"":""fLJnl5"",""original_url"":""https://opswise.net/lively/zenith/166""}"
167,167,71,created,2025-02-20 13:51:04,"{""short_code"":""XXeeSq"",""original_url"":""https://opswise.net/dawn/island/167""}"
168,168,219,created,2025-09-23 10:22:07,"{""short_code"":""11Ia78"",""original_url"":""https://acme.dev/dawn/quartz/168""}"
169,169,276,created,2025-09-09 23:46:49,"{""short_code"":""fT5gcV"",""original_url"":""https://opswise.net/tidy/zenith/169""}"
170,170,11,created,2025-08-08 00:16:10,"{""short_code"":""DsRTx0"",""original_url"":""https://seeded.app/ivory/canyon/170""}"
171,171,70,created,2026-01-10 23:40:56,"{""short_code"":""dCCbmz"",""original_url"":""https://seeded.app/brisk/orbit/171""}"
172,172,361,created,2025-04-02 18:27:39,"{""short_code"":""0ROec5"",""original_url"":""https://acme.dev/tidy/harvest/172""}"
173,173,328,created,2025-12-27 23:55:30,"{""short_code"":""eOTTCt"",""original_url"":""https://seeded.app/young/zenith/173""}"
174,174,24,created,2025-12-01 05:28:13,"{""short_code"":""ezC7fB"",""original_url"":""https://opswise.net/brisk/trail/174""}"
175,175,188,created,2025-05-17 16:42:56,"{""short_code"":""jxpOLC"",""original_url"":""https://acme.dev/rapid/orbit/175""}"
176,176,326,created,2025-05-19 02:40:31,"{""short_code"":""bVIF4x"",""original_url"":""https://relay.cloud/vivid/pioneer/176""}"
177,177,252,created,2025-10-10 11:42:55,"{""short_code"":""jVhCy7"",""original_url"":""https://acme.dev/vivid/journey/177""}"
178,178,63,created,2025-02-01 13:48:38,"{""short_code"":""vxczmg"",""original_url"":""https://opswise.net/rapid/journey/178""}"
179,179,188,created,2025-03-20 13:08:34,"{""short_code"":""jfwv0a"",""original_url"":""https://relay.cloud/ivory/harvest/179""}"
180,180,157,created,2026-02-07 06:06:37,"{""short_code"":""QR2jcr"",""original_url"":""https://opswise.net/forest/pioneer/180""}"
181,181,308,created,2025-03-15 20:26:38,"{""short_code"":""GCkB7X"",""original_url"":""https://relay.cloud/lively/field/181""}"
182,182,222,created,2025-09-09 14:52:49,"{""short_code"":""K4MAUI"",""original_url"":""https://hackstack.io/navy/engine/182""}"
183,183,140,created,2025-12-26 03:11:08,"{""short_code"":""lUrHWL"",""original_url"":""https://acme.dev/mellow/island/183""}"
184,184,224,created,2025-01-05 02:04:36,"{""short_code"":""keQ8pV"",""original_url"":""https://example.com/rapid/river/184""}"
185,185,317,created,2025-05-14 10:36:54,"{""short_code"":""TmhWh7"",""original_url"":""https://hackstack.io/ivory/quartz/185""}"
186,186,76,created,2025-03-06 19:20:21,"{""short_code"":""uwAWNv"",""original_url"":""https://example.com/dawn/beacon/186""}"
187,187,191,created,2025-12-09 13:34:37,"{""short_code"":""6L1CBQ"",""original_url"":""https://seeded.app/vivid/canyon/187""}"
188,188,115,created,2025-08-18 17:49:24,"{""short_code"":""xVBUYq"",""original_url"":""https://hackstack.io/ember/beacon/188""}"
189,189,74,created,2025-04-24 12:01:39,"{""short_code"":""3JfFp6"",""original_url"":""https://acme.dev/tidy/meadow/189""}"
190,190,321,created,2025-08-24 01:32:33,"{""short_code"":""mLQRys"",""original_url"":""https://relay.cloud/tidy/pioneer/190""}"
191,191,215,created,2025-02-06 21:59:14,"{""short_code"":""J4huvz"",""original_url"":""https://opswise.net/calm/kernel/191""}"
192,192,140,created,2025-01-19 02:27:45,"{""short_code"":""HQIpVL"",""original_url"":""https://hackstack.io/cobalt/delta/192""}"
193,193,345,created,2025-03-20 04:38:48,"{""short_code"":""U5N01i"",""original_url"":""https://example.com/lively/trail/193""}"
194,194,363,created,2025-09-26 13:43:52,"{""short_code"":""BLBdzM"",""original_url"":""https://hackstack.io/dawn/quartz/194""}"
195,195,215,created,2025-07-01 11:29:44,"{""short_code"":""yUDpZX"",""original_url"":""https://opswise.net/ivory/lagoon/195""}"
196,196,114,created,2026-01-04 04:35:36,"{""short_code"":""fZYDSQ"",""original_url"":""https://opswise.net/brisk/field/196""}"
197,197,31,created,2025-07-10 05:11:26,"{""short_code"":""l6eNIM"",""original_url"":""https://acme.dev/quiet/river/197""}"
198,198,40,created,2025-11-25 07:16:21,"{""short_code"":""wdhjCV"",""original_url"":""https://acme.dev/rapid/valley/198""}"
199,199,362,created,2025-12-31 15:09:05,"{""short_code"":""7T8FjD"",""original_url"":""https://opswise.net/rapid/anchor/199""}"
200,200,328,created,2025-07-25 00:30:59,"{""short_code"":""bBDyfU"",""original_url"":""https://seeded.app/brisk/delta/200""}"
201,201,288,created,2025-02-05 05:20:34,"{""short_code"":""rVvneP"",""original_url"":""https://opswise.net/amber/canyon/201""}"
202,202,292,created,2025-01-21 20:24:59,"{""short_code"":""xh20af"",""original_url"":""https://example.com/calm/yard/202""}"
203,203,390,created,2025-09-22 22:12:32,"{""short_code"":""K2RiCW"",""original_url"":""https://example.com/forest/lagoon/203""}"
204,204,303,created,2025-03-17 12:19:27,"{""short_code"":""X6lmxE"",""original_url"":""https://acme.dev/brisk/signal/204""}"
205,205,252,created,2025-11-20 11:22:26,"{""short_code"":""AzUNLa"",""original_url"":""https://example.com/navy/meadow/205""}"
206,206,243,created,2025-03-09 15:06:22,"{""short_code"":""BBEOCk"",""original_url"":""https://hackstack.io/amber/garden/206""}"
207,207,192,created,2025-02-13 01:31:31,"{""short_code"":""d6UyS9"",""original_url"":""https://seeded.app/clear/beacon/207""}"
208,208,30,created,2025-09-13 06:09:03,"{""short_code"":""x5Iu4i"",""original_url"":""https://relay.cloud/young/field/208""}"
209,209,86,created,2026-01-09 05:35:42,"{""short_code"":""VmudvT"",""original_url"":""https://opswise.net/ivory/delta/209""}"
210,210,124,created,2025-03-28 09:33:16,"{""short_code"":""2in3ly"",""original_url"":""https://opswise.net/clear/river/210""}"
211,211,119,created,2026-01-13 00:35:55,"{""short_code"":""uF5K02"",""original_url"":""https://seeded.app/harbor/engine/211""}"
212,212,364,created,2025-07-18 21:20:07,"{""short_code"":""jQeU9x"",""original_url"":""https://hackstack.io/ivory/signal/212""}"
213,213,114,created,2025-03-26 18:46:03,"{""short_code"":""IBqNLD"",""original_url"":""https://opswise.net/rapid/quartz/213""}"
214,214,17,created,2025-02-15 05:14:46,"{""short_code"":""HYDyF7"",""original_url"":""https://acme.dev/quiet/anchor/214""}"
215,215,110,created,2025-12-19 00:03:41,"{""short_code"":""YW73XM"",""original_url"":""https://hackstack.io/calm/canyon/215""}"
